"MSIB_INVENTORY_ITEM_ID","MSIB_SEGMENT1","MP_PLANNER_CODE","MP_ORGANIZATION_ID","MP_DESCRIPTION"
12522944,"811-9935-209","510",1213,"Fitzsimmons, Shawn"
12552748,"831-9548-157401","510",1213,"Fitzsimmons, Shawn"
12519229,"811-7673-005","510",1213,"Fitzsimmons, Shawn"
12517272,"811-8361-002","510",1213,"Fitzsimmons, Shawn"
12517313,"811-8361-003A","510",1213,"Fitzsimmons, Shawn"
12517314,"811-8361-004","510",1213,"Fitzsimmons, Shawn"
12517315,"811-8361-004A","510",1213,"Fitzsimmons, Shawn"
12522948,"811-9935-210","510",1213,"Fitzsimmons, Shawn"
12523259,"811-9935-211","510",1213,"Fitzsimmons, Shawn"
12523260,"811-9936-001","510",1213,"Fitzsimmons, Shawn"
12518999,"811-7674-011","510",1213,"Fitzsimmons, Shawn"
12528809,"811-7674-012","510",1213,"Fitzsimmons, Shawn"
12517590,"811-8361-203","510",1213,"Fitzsimmons, Shawn"
12517591,"811-8361-203A","510",1213,"Fitzsimmons, Shawn"
12517592,"811-8361-204","510",1213,"Fitzsimmons, Shawn"
12517633,"811-8361-205","510",1213,"Fitzsimmons, Shawn"
12517634,"811-8361-205A","510",1213,"Fitzsimmons, Shawn"
12523263,"811-9936-002","510",1213,"Fitzsimmons, Shawn"
12523266,"811-9936-003","510",1213,"Fitzsimmons, Shawn"
12517161,"811-1695-001","510",1213,"Fitzsimmons, Shawn"
12541228,"811-8438-004","510",1213,"Fitzsimmons, Shawn"
12520029,"811-8664-002","510",1213,"Fitzsimmons, Shawn"
12522935,"811-9936-004","510",1213,"Fitzsimmons, Shawn"
12523078,"811-9936-005","510",1213,"Fitzsimmons, Shawn"
12517163,"811-1696-001","510",1213,"Fitzsimmons, Shawn"
12520976,"811-7976-005","510",1213,"Fitzsimmons, Shawn"
12520977,"811-7976-006","510",1213,"Fitzsimmons, Shawn"
12521407,"811-7976-007","510",1213,"Fitzsimmons, Shawn"
12517654,"811-4243-008A","510",1213,"Fitzsimmons, Shawn"
12517167,"811-4243-208","510",1213,"Fitzsimmons, Shawn"
12523205,"811-5654-010","510",1213,"Fitzsimmons, Shawn"
12531363,"811-8834-201","510",1213,"Fitzsimmons, Shawn"
12530813,"811-8834-202","510",1213,"Fitzsimmons, Shawn"
12528944,"811-8834-203","510",1213,"Fitzsimmons, Shawn"
12495782,"811-8834-204","510",1213,"Fitzsimmons, Shawn"
12517213,"811-4244-002","510",1213,"Fitzsimmons, Shawn"
12517216,"811-4244-003","510",1213,"Fitzsimmons, Shawn"
12517489,"811-4244-004","510",1213,"Fitzsimmons, Shawn"
12522773,"811-5655-006","510",1213,"Fitzsimmons, Shawn"
12530785,"811-8835-201","510",1213,"Fitzsimmons, Shawn"
